naut-179 彭際清
aut-343 義湘
aut-267 阿僧伽
naut-899 永珍
resp212 說常攝集
naut-27 金剛仙菩薩造
naut-1124 性磊補輯
aut-108 佛陀斯那
naut-938 宗成
aut-87 僧伽婆羅
naut-219 屠根
ndiv-11 涅槃部疏
naut-1077 王子成
naut-1171 懷信
naut-886 善遇
naut-906 可橖
naut-1160 德諫
date33 後魏
naut-488 跋折羅菩提
naut-696 惟珪
naut-836 自永
naut-1180 佐伯定胤．中野達慧共
naut-800 淨覃
naut-782 善開
source24 source24 source24 None
naut-191 傳燈鈔
nresp-254 等編校
resp39 集記
naut-802 似涇
aut-463 宗性
naut-733 道鑑
naut-621 惠彬
aut-402 法琳
aut-203 法海
aut-424 圓仁
naut-490 潛眞
naut-545 受教
naut-731 元偉
naut-732 光從
aut-538 重譽
date39 高麗
naut-644 集雲堂
ndiv-29 中邊論疏
resp174 評唱
naut-742 了元
resp229 集竝著語
aut-420 最澄
aut-266 護法
resp56 編
aut-286 鬱楞伽
naut-543 明教標
naut-739 法奇
naut-1061 師皎
ndiv-13 大乘律疏
naut-1179 贊寧
resp201 重輯
naut-920 寶生
aut-394 道原
aut-559 運敞
aut-145 佛陀波利
aut-206 慈氏
naut-946 祖灊
naut-801 德惟
aut-223 天親
naut-828 紹曇
resp134 共譯
resp2 譯
aut-372 如Î
naut-272 敬止
naut-994 正參
aut-352 仁嶽
aut-412 怛多蘗多波羅
aut-41 吉迦夜
naut-310 [言*(上/小)]震
date34 北周
naut-420 處元
date18 曹魏
aut-300 元曉
aut-567 親鸞
naut-911 慧觀
